,"Directory","Name","STATUS","Object_Type","Combat_Role","Textual_Description","Hud_image","Unit_Scale","Cockpit","CockpitX","CockpitY","CockpitZ","Mesh","Shield_Mesh","Rapid_Mesh","BSP_Mesh","Use_BSP","Use_Rapid","NoDamageParticles","Mass","Moment_Of_Inertia","Fuel_Capacity","Hull","Armor_Front_Top_Right","Armor_Front_Top_Left","Armor_Front_Bottom_Right","Armor_Front_Bottom_Left","Armor_Back_Top_Right","Armor_Back_Top_Left","Armor_Back_Bottom_Right","Armor_Back_Bottom_Left","Shield_Front_Top_Right","Shield_Back_Top_Left","Shield_Front_Bottom_Right","Shield_Front_Bottom_Left","Shield_Back_Top_Right","Shield_Front_Top_Left","Shield_Back_Bottom_Right","Shield_Back_Bottom_Left","Shield_Recharge","Shield_Leak","Warp_Capacitor","Primary_Capacitor","Reactor_Recharge","Jump_Drive_Present","Jump_Drive_Delay","Wormhole","Outsystem_Jump_Cost","Warp_Usage_Cost","Afterburner_Type","Afterburner_Usage_Cost","Maneuver_Yaw","Maneuver_Pitch","Maneuver_Roll","Yaw_Governor","Pitch_Governor","Roll_Governor","Afterburner_Accel","Forward_Accel","Retro_Accel","Left_Accel","Right_Accel","Top_Accel","Bottom_Accel","Afterburner_Speed_Governor","Default_Speed_Governor","ITTS","Radar_Color","Radar_Range","Tracking_Cone","Max_Cone","Lock_Cone","Hold_Volume","Can_Cloak","Cloak_Min","Cloak_Rate","Cloak_Energy","Cloak_Glass","Repair_Droid","ECM_Rating","ECM_Resist","Ecm_Drain","Hud_Functionality","Max_Hud_Functionality","Lifesupport_Functionality","Max_Lifesupport_Functionality","Comm_Functionality","Max_Comm_Functionality","FireControl_Functionality","Max_FireControl_Functionality","SPECDrive_Functionality","Max_SPECDrive_Functionality","Slide_Start","Slide_End","Activation_Accel","Activation_Speed","Upgrades","Prohibited_Upgrades","Sub_Units","Sound","Light","Mounts","Net_Comm","Dock","Cargo_Import","Cargo","Explosion","Num_Animation_Stages","Upgrade_Storage_Volume","Heat_Sink_Rating","Shield_Efficiency","Num_Chunks","Chunk_0","Collide_Subunits","Spec_Interdiction","Tractorability"
"Dodo_Milspec_Package__upgrades",,"Dodo_Milspec_Package",,,,,,,,,,,,,,,,,,560,560,,1600,1,1,1,1,1,1,1,1,0,0,0,0,,,,,0,0,325,,,FALSE,1,,300,120,1,4,50000,50000,50000,68,65,62,60000,60000,60000,10000,10000,10000,10000,85,85,FALSE,FALSE,300000000,4,180,25,700,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,"{armor01;;}{quadshield02;;}{add_spec_capacitor01;;}{capacitor02;;}{reactor03;;}{skyscope2;;}",,,,,,,,,,,,,,,,,,,
"Dostoevsky_Milspec_Package__upgrades",,"Dostoevsky_Milspec_Package",,,,,,,,,,,,,,,,,,42,42,,250,1,1,1,1,1,1,1,1,0,0,0,0,,,,,0,0,250,,,TRUE,1,,200,120,1,4,50000,50000,50000,45,45,55,15000,15000,11000,5000,5000,5000,5000,460,460,FALSE,FALSE,300000000,5,180,10,150,,,,,0,0,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,"{armor03;;}{quadshield05;;}{add_spec_capacitor03;;}{capacitor04;;}{reactor05;;}{jump_drive;;}{skyscope3;;}{ecm_package01;;}",,,,,,,,,,,,,,,,,,,
"Franklin_Milspec_Package__upgrades",,"Franklin_Milspec_Package",,,,,,,,,,,,,,,,,,152,152,,900,1,1,1,1,1,1,1,1,0,0,0,0,,,,,0,0,325,,,TRUE,1,,300,120,1,4,50000,50000,50000,80,87,95,40000,40000,22000,10000,10000,10000,10000,440,440,FALSE,FALSE,300000000,5,180,10,300,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Gawain_Milspec_Package__upgrades",,"Gawain_Milspec_Package",,,,,,,,,,,,,,,,,,72,72,,400,1,1,1,1,1,1,1,1,0,0,,,,,,,0,0,250,,,TRUE,1,,200,120,1,4,50000,50000,50000,55,60,60,25000,22000,15000,5000,5000,5000,5000,540,540,FALSE,,300000000,5,180,10,25,,,,,0,0,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,"{armor03;;}{dualshield04;;}{add_spec_capacitor02;;}{capacitor03;;}{reactor04;;}{jump_drive;;}{starscanner2;;}{ecm_package01;;}",,,,,,,,,,,,,,,,,,,
"Goddard_Milspec_Package__upgrades",,"Goddard_Milspec_Package",,,,,,,,,,,,,,,,,,4800,4800,,2100,450,450,450,450,400,400,400,400,1400,1400,1400,1400,,,,,200,0,450,4000,500,TRUE,1,,200,200,1,4,100000,100000,100000,55,55,50,150000,130000,110000,60000,60000,60000,60000,220,220,TRUE,TRUE,150000000,15,180,90,1000,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Lancelot_Milspec_Package__upgrades",,"Lancelot_Milspec_Package",,,,,,,,,,,,,,,,,,208,208,,700,1,1,1,1,1,1,1,1,0,0,0,0,,,,,0,0,250,,,TRUE,1,,200,120,1,4,50000,50000,50000,50,50,55,30000,27000,22000,5000,5000,5000,5000,490,490,FALSE,FALSE,300000000,5,180,10,75,,,,,0,0,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,"{armor04;;}{quadshield07;;}{add_spec_capacitor03;;}{capacitor06;;}{reactor06;;}{jump_drive;;}{starscanner3;;}{ecm_package02;;}",,,,,,,,,,,,,,,,,,,
"Mule_Milspec_Package__upgrades",,"Mule_Milspec_Package",,,,,,,,,,,,,,,,,,32000,32000,,14000,825,825,825,825,1000,1000,1000,1000,2300,3000,2000,2000,,,,,30,0,1200,5000,80,TRUE,1,,400,,1,8,60000,60000,60000,10,10,10,600000,300000,300000,50000,50000,50000,50000,40,40,TRUE,TRUE,300000000,4,180,25,200000,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Nicander_Milspec_Package__upgrades",,"Nicander_Milspec_Package",,,,,,,,,,,,,,,,,,61,61,,271,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,360,360,,,,,,,90,0,1300,500,160,TRUE,1,,200,45,1,4,60000,60000,60000,90,100,120,21600,15000,10000,4000,4000,4000,4000,380,380,TRUE,TRUE,300000000,5,180,10,25,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Pacifier_Milspec_Package__upgrades",,"Pacifier_Milspec_Package",,,,,,,,,,,,,,,,,,640,640,,800,1,1,1,1,1,1,1,1,0,0,0,0,,,,,0,0,250,,,TRUE,1,,200,120,1,4,50000,50000,50000,25,30,35,27000,19000,14000,4000,4000,4000,4000,180,180,FALSE,FALSE,300000000,8,180,50,250,,,,,0,0,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,"{armor06;;}{quadshield10;;}{add_spec_capacitor04;;}{capacitor09;;}{reactor07;;}{jump_drive;;}{hawkeye2;;}{ecm_package03;;}",,,,,,,,,,,,,,,,,,,
"Progeny_Milspec_Package__upgrades",,"Progeny_Milspec_Package",,,,,,,,,,,,,,,,,,64,64,,165,65,65,65,65,45,45,45,45,420,60,100,100,,,,,42,0,250,300,40,TRUE,1,,200,20,1,4,50000,50000,50000,85,70,85,18000,15000,9000,5000,5000,5000,5000,340,340,FALSE,TRUE,300000000,5,180,10,20,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Schroedinger_Milspec_Package__upgrades",,"Schroedinger_Milspec_Package",,,,,,,,,,,,,,,,,,120,120,,194,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,360,360,360,360,,,,,100,0,360,720,120,TRUE,1,,200,40,1,4,50000,50000,50000,90,90,90,30000,30000,22000,5000,5000,5000,5000,650,650,FALSE,TRUE,300000000,5,180,10,75,1,0.3,0.1,1,FALSE,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Shizu_Milspec_Package__upgrades",,"Shizu_Milspec_Package",,,,,,,,,,,,,,,,,,130,130,,255,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,,,,,50,0,450,300,60,TRUE,1,,200,50,3,0,50000,50000,50000,110,110,110,12000,12000,12000,12000,12000,12000,12000,340,340,FALSE,TRUE,300000000,5,180,10,40,,0.3,0.1,60,FALSE,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Taizong_Milspec_Package__upgrades",,"Taizong_Milspec_Package",,,,,,,,,,,,,,,,,,240,240,,1200,140,140,140,140,122.5,122.5,122.5,122.5,350,300,300,300,,,,,250,0,600,1400,360,TRUE,1,,200,200,3,0,40000,40000,40000,90,90,90,12000,12000,12000,12000,12000,12000,12000,310,310,,TRUE,300000000,12,180,49.46,50,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Zhuangzong_Milspec_Package__upgrades",,"Zhuangzong_Milspec_Package",,,,,,,,,,,,,,,,,,170,170,,400,56,56,56,56,56,56,56,56,150,100,125,125,,,,,100,0,350,800,120,TRUE,1,,200,120,3,0,50000,50000,50000,100,100,100,12000,12000,12000,12000,12000,12000,12000,220,220,FALSE,TRUE,300000000,5,180,10,15,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Skatecargo","./vessels/Dodo","Dodo_Cargo",,"CARGO","INERT","destroyable cargo pod",,0.2,,,,,"{skatecargo.bfxm;;}",,,,,,,100,100,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,FALSE,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,10000,4,180,25,,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,";;;;;;",,,,,,,,0,0,0,,,,,,"pPiI"
"upgrading_dummy_unit__upgrades",,"Upgrading Dummy Unit",,"DUMMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABelt__neutral","./factions/neutral/ABelt","ABelt",,"FIXME",,,"af-hud.spr",10,,,,,,,,,,,,600,600,50,400000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,FALSE,,,,,0,,0,0,0,,,,0,0,0,0,0,0,0,,,FALSE,TRUE,300000000,5,180,10,,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,"{asteroidsPriv;938.0;938.0;938.0;0;1;0;0;0;1;180.0}{asteroidsPriv;580.0;0.0;1518.0;0;0;-1;-1;0;0;180.0}{asteroidsPriv;-1518.0;-580.0;0.0;1;0;0;0;-1;0;180.0}{asteroidsPriv;1518.0;580.0;0.0;0;0;-1;1;0;0;180.0}{asteroidsPriv;-938.0;938.0;-938.0;0;0;-1;-1;0;0;180.0}{asteroidsPriv;0.0;-1518.0;-580.0;0;1;0;0;0;1;180.0}{asteroidsPriv;-1518.0;580.0;0.0;0;0;-1;1;0;0;180.0}{asteroidsPriv;938.0;-938.0;938.0;0;1;0;0;0;-1;180.0}{asteroidsPriv;-938.0;938.0;938.0;0;-1;0;-1;0;0;180.0}{asteroidsPriv;-938.0;-938.0;938.0;0;0;1;1;0;0;180.0}{asteroidsPriv;938.0;-938.0;-938.0;-1;0;0;0;-1;0;180.0}{asteroidsPriv;580.0;0.0;-1518.0;0;0;-1;-1;0;0;180.0}{asteroidsPriv;-938.0;-938.0;-938.0;0;0;-1;1;0;0;180.0}{asteroidsPriv;0.0;-1518.0;580.0;0;0;1;-1;0;0;180.0}{asteroidsPriv;0.0;1518.0;-580.0;1;0;0;0;-1;0;180.0}{asteroidsPriv;-580.0;0.0;1518.0;0;-1;0;-1;0;0;180.0}{asteroidsPriv;1518.0;-580.0;0.0;0;-1;0;-1;0;0;180.0}{asteroidsPriv;-580.0;0.0;-1518.0;1;0;0;0;1;0;180.0}{asteroidsPriv;938.0;938.0;-938.0;0;1;0;0;0;1;180.0}{asteroidsPriv;0.0;1518.0;580.0;0;0;-1;0;-1;0;180.0}{asteroidsPriv;0.0;-678.8;1098.4;0;-1;0;0;0;1;180.0}{asteroidsPriv;-678.8;1098.4;0.0;-1;0;0;0;1;0;180.0}{asteroidsPriv;-678.8;-1098.4;0.0;-1;0;0;0;1;0;180.0}{asteroidsPriv;-1098.4;0.0;-678.8;0;0;-1;-1;0;0;180.0}{asteroidsPriv;993.5;-145.0;-848.5;1;0;0;0;-1;0;180.0}{asteroidsPriv;0.0;678.8;1098.4;0;1;0;1;0;0;180.0}{asteroidsPriv;1098.4;0.0;678.8;0;0;-1;-1;0;0;180.0}{asteroidsPriv;0.0;-678.8;-1098.4;1;0;0;0;-1;0;180.0}{asteroidsPriv;0.0;678.8;-1098.4;0;-1;0;1;0;0;180.0}{asteroidsPriv;678.8;-1098.4;0.0;-1;0;0;0;-1;0;180.0}{asteroidsPriv;-1098.4;0.0;678.8;0;-1;0;1;0;0;180.0}{asteroidsPriv;678.8;1098.4;0.0;0;0;-1;0;-1;0;180.0}",,,,,,,,,0,0,0,,,,,,
